image,image_id,label
FoF7_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice32_cellCycle1_cell42.tif,FoF7_241016_fucci.nucleus_cell42.tif,0
FoF2_241016_fucci.nucleus/cellCycle2/images_padded/FoF_slice27_cellCycle2_cell17.tif,FoF2_241016_fucci.nucleus_cell17.tif,1
FoF7_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice31_cellCycle1_cell64.tif,FoF7_241016_fucci.nucleus_cell64.tif,0
FoF6_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice27_cellCycle1_cell58.tif,FoF6_241016_fucci.nucleus_cell58.tif,0
FoF15_241017_fucci.nucleus/cellCycle3/images_padded/FoF_slice27_cellCycle3_cell55.tif,FoF15_241017_fucci.nucleus_cell55.tif,2
FoF22_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice22_cellCycle1_cell177.tif,FoF22_241017_fucci.nucleus_cell177.tif,0
FoF4_241016_fucci.nucleus/cellCycle2/images_padded/FoF_slice21_cellCycle2_cell101.tif,FoF4_241016_fucci.nucleus_cell101.tif,1
FoF18_241017_fucci.nucleus/cellCycle2/images_padded/FoF_slice22_cellCycle2_cell29.tif,FoF18_241017_fucci.nucleus_cell29.tif,1
FoF15_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice24_cellCycle1_cell25.tif,FoF15_241017_fucci.nucleus_cell25.tif,0
FoF4_241016_fucci.nucleus/cellCycle2/images_padded/FoF_slice29_cellCycle2_cell112.tif,FoF4_241016_fucci.nucleus_cell112.tif,1
FoF5_241016_fucci.nucleus/cellCycle1/images_padded/FoF_slice26_cellCycle1_cell23.tif,FoF5_241016_fucci.nucleus_cell23.tif,0
FoF17_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice21_cellCycle1_cell273.tif,FoF17_241017_fucci.nucleus_cell273.tif,0
FoF17_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice15_cellCycle1_cell282.tif,FoF17_241017_fucci.nucleus_cell282.tif,0
FoF21_241017_fucci.nucleus/cellCycle1/images_padded/FoF_slice23_cellCycle1_cell213.tif,FoF21_241017_fucci.nucleus_cell213.tif,0
